Spp,Date,Day,Rep,Psi_leaf,Psi_xylem,hhmmss,E,A,Ca,Ci,gsw,RHcham,VPDleaf,Tair,Tleaf,Q,hhmmss_WithoutDaylightSavings,CiCa,Psi_diff,hhmmss_int,WUE,iWUE
AB,Mar-05,1,0,NA,NA,6:47:00,0,0,400,NA,0,NA,NA,NA,NA,NA,,NA,NA,6,NA,NA
AE,Mar-05,1,0,NA,NA,6:47:00,0,0,400,NA,0,NA,NA,NA,NA,NA,,NA,NA,6,NA,NA
AF,Mar-05,1,0,NA,NA,6:47:00,0,0,400,NA,0,NA,NA,NA,NA,NA,,NA,NA,6,NA,NA
EF,Mar-05,1,0,NA,NA,6:47:00,0,0,400,NA,0,NA,NA,NA,NA,NA,,NA,NA,6,NA,NA
ER,Mar-05,1,0,NA,NA,6:47:00,0,0,400,NA,0,NA,NA,NA,NA,NA,,NA,NA,6,NA,NA
HD,Mar-05,1,0,NA,NA,6:47:00,0,0,400,NA,0,NA,NA,NA,NA,NA,,NA,NA,6,NA,NA
PL,Mar-05,1,0,NA,NA,6:47:00,0,0,400,NA,0,NA,NA,NA,NA,NA,,NA,NA,6,NA,NA
AB,Mar-05,1,1,-0.22,-0.22,8:59:00,0.000267582,1.169241674,399.3479355,286.1319025,0.017902561,54.48821289,1.478656709,21.31694839,23.26554839,1999.984194,NA,0.716497763,0,8.084166667,NA,65.31141963
AF,Mar-05,1,1,-0.35,-0.2,10:22:00,0.00173522,6.986620689,396.1679032,212.5908726,0.066620861,49.21733057,2.586984831,28.50612903,30.9966871,2000.007419,NA,0.536618113,0.15,9.394722222,4026.360167,104.8713659
EF,Mar-05,1,1,-0.87,-0.51,9:39:00,0.00288966,14.18433425,392.3440323,242.9779253,0.168795678,54.31575253,1.761549744,25.09908065,26.61413548,1999.983871,NA,0.619298129,0.36,8.715555556,4908.651623,84.03256777
ER,Mar-05,1,1,-0.41,-0.14,9:17:00,0.001604654,9.649400829,394.8579032,225.5286564,0.098307267,55.85365367,1.649618429,22.8197871,25.14589032,1999.989032,NA,0.571164094,0.27,8.368333333,6013.384087,98.15551915
HD,Mar-05,1,1,-0.57,-0.35,9:31:00,0.00391234,18.03470155,390.2144516,273.0673642,0.283227992,58.54155883,1.469629217,23.88146129,25.16184516,2000.000645,NA,0.699787932,0.22,8.589444444,4609.696895,63.67556195
PL,Mar-05,1,1,-0.34,-0.28,9:54:00,0.000444677,2.916220397,398.453129,175.2897482,0.021946327,50.0837079,1.996345567,26.06045484,27.5311871,1999.993871,NA,0.439925641,0.06,8.9525,6558.064386,132.8796567
AB,Mar-05,1,2,-1.55,-0.81,10:53:00,0.003171543,10.98261778,393.8886452,248.3041593,0.136524505,54.36071963,2.346780072,30.61148065,31.88984516,2000.005484,NA,0.630391768,0.74,9.884166667,NA,80.44429665
AF,Mar-05,1,2,-0.8,-0.39,11:39:00,0.003220539,11.16333578,393.7947419,194.764454,0.099864088,45.4215359,3.215245148,32.45986774,34.32705161,1999.963871,NA,0.494583684,0.41,10.61027778,3466.294238,111.7852874
EF,Mar-05,1,2,-3.4,-2.1,11:05:00,0.005182343,17.3654348,390.3070645,251.7023428,0.232795548,53.34297375,2.309049958,31.66730645,32.12380968,1999.979355,NA,0.644882877,1.3,10.07361111,3350.88488,74.59521863
ER,Mar-05,1,2,-1.73,-1.53,10:58:00,0.00551328,20.15876748,388.829871,261.6175819,0.29714471,58.02764298,1.960324977,30.99484194,31.25505161,1999.980323,NA,0.672833034,0.2,9.963055556,3656.401902,67.84158291
HD,Mar-05,1,2,-2.1,-1.2,10:46:00,0.007235186,21.17091935,388.033129,280.912043,0.387273472,52.85809406,2.026919841,30.6686,30.43016452,1999.996129,NA,0.723938298,0.9,9.773611111,2926.105749,54.66658803
PL,Mar-05,1,2,-1.8,-1.5,11:14:00,0.001157513,4.72464303,397.4036774,189.9961628,0.039466982,48.15231337,2.876444586,31.71115161,33.30186774,2000.000645,NA,0.47809362,0.3,10.21555556,4081.719195,119.7112825
AB,Mar-05,1,3,-1.56,-0.89,11:46:00,0.004703949,15.28507957,391.4277419,219.6161844,0.162226846,42.84886106,2.954358323,31.47975806,32.60460323,2000.00871,NA,0.561064434,0.67,10.72083333,NA,94.2204077
AF,Mar-05,1,3,-1,-0.12,12:58:00,0.002585043,10.59281799,394.1832581,195.2022637,0.093500593,44.48691546,2.766644251,29.89009677,31.53203871,1999.99129,NA,0.495206886,0.88,11.85777778,4097.733767,113.2914525
EF,Mar-05,1,3,-2.8,-2.2,12:08:00,0.003913618,10.64359789,393.910129,224.6367743,0.115374817,38.61265258,3.405647407,32.19036452,33.7515,1999.950968,NA,0.570274176,0.6,11.06833333,2719.63127,92.25234905
ER,Mar-05,1,3,-1.36,-0.9,12:01:00,0.00551058,18.13362567,389.8590968,231.8920601,0.211970875,42.68801492,2.692975403,30.34999677,31.14403548,1999.991613,NA,0.594809925,0.46,10.95777778,3290.692753,85.54772287
